"kit_desc","kit_prod","piece_desc_kitting","quantity","source","job_number","match","promail_id","proml_stat","filename_kitting","domestic","foreign","drop_date","drop_mthd","addl_instr_kitting","vrsn_num_kitting"
"","","CD Form - WF-CDRF0212","1","Digi","N/A","Yes","N/A","N/A","","","","","","","7"
"","","BRE - BRE ASC2 MOM","1","ProMail","N/A","No","BRE ASC2 MOM","","","","","","","","3"
"","","BRE - BRE ASC2 MOM","1","ProMail","N/A","No","BRE ASC2 MOM","","","","","","","","4"
"","","BRE - BRE ASC2 MOM","1","ProMail","N/A","No","BRE ASC2 MOM","","","","","","","","5"
"","","BRE - BRE ASC2 MOM","1","ProMail","N/A","No","BRE ASC2 MOM","","","","","","","","6"
"","","BRE - BRE WF2 MOM","1","ProMail","N/A","No","BRE WF2 MOM","","","","","","","","9"
"","","BRE - BRE WF2 MOM","1","ProMail","N/A","No","BRE WF2 MOM","","","","","","","","10"
"","","BRE - BRE WF2 MOM","1","ProMail","N/A","No","BRE WF2 MOM","","","","","","","","11"
"","","BRE - BRE WF2 MOM","1","ProMail","N/A","No","BRE WF2 MOM","","","","","","","","12"
"V01","Inserter Machine - Data-Driven","","","","","","","","","","","","","","1"
"V02","Inserter Machine - Data-Driven","","","","","","","","","","","","","","2"
"V03","Inserter Machine - Data-Driven","","","","","","","","","","","","","","3"
"V04","Inserter Machine - Data-Driven","","","","","","","","","","","","","","4"
"V05","Inserter Machine - Data-Driven","","","","","","","","","","","","","","5"
"V06","Inserter Machine - Data-Driven","","","","","","","","","","","","","","6"
"V07","Inserter Machine - Data-Driven","","","","","","","","","","","","","","7"
"V08","Inserter Machine - Data-Driven","","","","","","","","","","","","","","8"
"V09","Inserter Machine - Data-Driven","","","","","","","","","","","","","","9"
"V10","Inserter Machine - Data-Driven","","","","","","","","","","","","","","10"
"V11","Inserter Machine - Data-Driven","","","","","","","","","","","","","","11"
"V12","Inserter Machine - Data-Driven","","","","","","","","","","","","","","12"
